index,subject,gender,filename,interval,task,attitude,intst,inted,f0md,f0mn,f0sd,f0mx,f0mi,f0range,inmd,inrange,jitloc,jitrap,jitppq5,periodsd,shimloc,shimapq11,shimapq3,h1mh2mn,slopen0114,slopen5228,mnHNR,mnNHR,jitlocvr,jitrapvr,shimlocvr,shimapq3vr,h1h2mn,h1h2md,h1h2sd,h1h2cI,h1h2cH,h1a3,h1a3cI,h1a3cH,f0mnf
202,M5,M,Korean_M5,dct_1_2_impol,dct,inf,1206.804,1225.611,78.2,96.2,3.14,3.3,-4.2,7.5,66.3,25.8,0.02271,0.00717,0.0094,0.0019,0.07007,0.07678,0.02151,2.02,-19.9,-27.1,15.9,0.0741,0.02268,0.00716,0.07005,0.02148,NA,NA,NA,1.9,6.84,-38.21,-0.38,29.47,97.9
203,M5,M,Korean_M5,dct_2_1_pol,dct,pol,1283.618,1303.37,77.7,91.3,1.95,1.7,-4.4,6,64.7,25.7,0.02423,0.00781,0.01128,0.0013,0.08069,0.09052,0.02379,0.93,-23.3,-23.8,16.8,0.0598,0.02423,0.00781,0.08069,0.02379,NA,NA,NA,-2.48,5.18,-46.5,0,35.93,82.5
204,M5,M,Korean_M5,dct_2_2_impol,dct,inf,1351.395,1364.117,79.1,100.9,2.65,4.5,-4,8.6,65.8,27.3,0.02144,0.00628,0.00915,0.0016,0.07058,0.08013,0.02085,7.08,-21.4,-25.6,16.2,0.0614,0.02144,0.00628,0.07058,0.02085,NA,NA,NA,0.25,7.53,-39.04,0,32.04,103
205,M5,M,Korean_M5,dct_3_1_pol,dct,pol,1440.879,1458.262,78.7,100.7,3.57,4.2,-4.2,8.3,65.1,28.3,0.02614,0.00804,0.00992,0.0022,0.0787,0.10205,0.02161,3.62,-23.1,-21.1,16.9,0.0621,0.026,0.00795,0.07846,0.02152,NA,NA,NA,0.76,7.56,-42.46,1.5,34.85,81.7
206,M5,M,Korean_M5,dct_3_2_impol,dct,inf,1481.248,1491.911,82.1,114.7,2.91,5.8,-2.7,8.5,68.8,26.2,0.02074,0.00574,0.00785,0.0015,0.05589,0.05997,0.01637,4.06,-17.2,-20,15.7,0.0677,0.02074,0.00574,0.05602,0.01635,NA,NA,NA,4.99,7.03,-28.08,0,20.68,107.4
207,M5,M,Korean_M5,dct_4_1_pol,dct,pol,1548.552,1562.056,79.7,102.5,3,5.1,-4,9.1,65.6,25,0.02327,0.00763,0.01098,0.0018,0.06754,0.07897,0.01847,3.66,-21.9,-18.1,17.4,0.0602,0.02327,0.00763,0.06754,0.01847,NA,NA,NA,1,7.1,-42.96,0,36.35,82.8
208,M5,M,Korean_M5,dct_4_2_impol,dct,inf,1612.023,1622.402,79,102.2,3.42,6,-4.4,10.4,66.4,25.2,0.0252,0.00838,0.01145,0.002,0.06479,0.06573,0.01911,1.43,-21.7,-22.8,16.9,0.0698,0.02517,0.00836,0.06474,0.01911,NA,NA,NA,1.65,6.72,-35.11,0,29.67,134.3
209,M5,M,Korean_M5,dct_5_1_pol,dct,pol,1657.49,1676.678,77.4,91.1,2.61,2.6,-4.6,7.3,63.8,23.2,0.02705,0.00951,0.01259,0.0017,0.06781,0.07934,0.02184,2.24,-24.8,-26.4,17,0.0586,0.02699,0.00947,0.06761,0.0218,NA,NA,NA,-0.43,4.94,-40.89,0.76,33.11,78.8
210,M5,M,Korean_M5,dct_5_2_impol,dct,inf,1714.042,1727.722,77.6,94,2.94,3.6,-4.5,8.1,64.7,28.8,0.02421,0.00782,0.0102,0.0019,0.07079,0.06476,0.0195,3.2,-22.2,-26.1,16.7,0.0601,0.02416,0.00779,0.07068,0.01947,NA,NA,NA,-0.72,5.58,-38.79,0.82,32.91,86.4
212,M6,M,Korean_M6,note_1_1_pol,not,pol,319.136,360.225,79.8,110.4,3.78,6.5,-2.2,8.7,63.2,24.3,0.02771,0.01139,0.0128,0.002,0.08175,0.08415,0.02514,6.52,-28,-12.4,17.3,0.0682,0.02757,0.01133,0.08142,0.02495,NA,NA,NA,3.75,15.82,-45.96,1.75,34.37,101
