language,gender,task,langtask,speaker,scenario,condition1,condition2,dur,notes,f0mnhz,f0mdhz,f0sdhz,f0mihz,f0mahz,f0rghz,f0mnvst,f0mdvst,f0sdvst,f0mivst,f0mavst,f0rgvst,inmn,inmd,inrange,jitloc,jitrap,jitppq5,periodsd,shimloc,shimapq11,shimapq3,h1mh2mn,slopen0114,slopen5228,mnHNR,mnNHR,jitlocvr,jitrapvr,shimlocvr,shimapq3vr
Korean,F,epr,epr_kor,2,8,pan,casual,7.204,,194.7,187.1,31,142.3,292.3,149.9,91.06,90.58,2.6,6.12,18.57,12.45,59.4,57.7,28.2,0.01249,0.00372,0.00701,0.0009,0.13206,0.14346,0.04805,5.58,-14.9,-17.5,12.1,0.1677,0.01249,0.00372,0.13206,0.04805
Korean,F,epr,epr_kor,2,9,con,polite,9.232,,185.6,183.8,41.7,76.3,290,213.7,89.91,90.26,4.51,-4.68,18.43,23.11,59,57.1,29.1,0.01262,0.00385,0.00662,0.0013,0.11999,0.10276,0.04868,3.56,-14.1,-16.2,11.4,0.1954,0.01262,0.00385,0.1201,0.0487
Korean,F,epr,epr_kor,2,9,pan,casual,7.326,,191,184.1,38.7,81,274.9,193.9,90.52,90.29,3.98,-3.65,17.51,21.16,58.9,56.2,26.3,0.01157,0.00369,0.00639,0.0011,0.12595,0.11093,0.05395,6.11,-12.7,-20.1,11.1,0.1848,0.01157,0.00369,0.12579,0.05391
Korean,F,epr,epr_kor,4,10,con,polite,10.214,,190.7,187.1,28.9,129.4,293,163.5,90.7,90.57,2.62,4.46,18.61,14.14,73.5,68.3,42.8,0.01249,0.00294,0.0056,0.0008,0.08113,0.06713,0.02391,2.51,-14.3,-18.6,15.8,0.1079,0.01249,0.00294,0.08102,0.02385
Korean,F,epr,epr_kor,4,10,pan,casual,8.529,,183.5,174.1,33.7,125.3,271,145.7,89.97,89.33,3,3.98,17.26,13.28,72.9,67.6,44.4,0.01287,0.00286,0.00571,0.001,0.08924,0.08463,0.02483,3.89,-13,-18.8,14.5,0.1295,0.01287,0.00286,0.08924,0.02483
Korean,F,epr,epr_kor,4,1,con,polite,8.138,,195.9,200.2,36.2,123.1,290.7,167.6,91.06,91.74,3.25,3.6,18.48,14.87,73.1,69.8,43.1,0.01262,0.00281,0.00562,0.001,0.0782,0.07319,0.02359,5.61,-16,-20.4,16.4,0.1018,0.01262,0.00281,0.07822,0.0236
Korean,F,epr,epr_kor,4,1,pan,casual,5.873,,218.8,217.7,38.7,137.3,292.3,155,92.99,93.19,3.2,5.48,18.56,13.08,74.6,71.1,42.9,0.0121,0.00232,0.00456,0.001,0.07349,0.07604,0.02032,5.97,-13.1,-20.3,15.6,0.1094,0.0121,0.00232,0.07355,0.02034
Korean,F,epr,epr_kor,4,2,con,polite,9.201,,187.3,182.6,29.2,124.6,250.6,126,90.38,90.15,2.69,3.81,15.91,12.09,72.8,71.1,37.4,0.01148,0.00271,0.0051,0.0009,0.07458,0.06734,0.02299,4.96,-16.8,-17,17.8,0.0737,0.01148,0.00271,0.07458,0.02299
Korean,F,epr,epr_kor,4,2,pan,casual,8.145,,193.6,182.6,35.2,117.2,275.2,158,90.89,90.15,3.05,2.78,17.53,14.75,74,71.4,37.9,0.01155,0.0028,0.0053,0.0009,0.08227,0.06874,0.03121,3.35,-14.8,-20,16.2,0.0896,0.01155,0.0028,0.08227,0.03121
Korean,F,epr,epr_kor,4,3,con,polite,10.079,,202.1,191.3,45.2,131.6,324.9,193.3,91.5,90.96,3.7,4.76,20.4,15.64,73.5,70.8,40.4,0.01217,0.00312,0.00602,0.0011,0.06457,0.05557,0.01991,6.09,-14.9,-19.3,17.7,0.0964,0.01217,0.00312,0.06457,0.01991
Korean,F,epr,epr_kor,4,3,pan,casual,8.785,,207.7,195.3,43.1,128,328.3,200.3,92.02,91.31,3.49,4.28,20.58,16.3,73.4,71.1,42,0.01262,0.00295,0.00575,0.001,0.06845,0.06105,0.02125,6.62,-13.2,-18.7,16.6,0.1028,0.01262,0.00295,0.06845,0.02125
Korean,F,epr,epr_kor,4,4,con,polite,11.464,,194,190.6,35.6,129,285.6,156.6,90.91,90.9,3.12,4.44,18.17,13.73,73.2,70.1,41.2,0.01153,0.00278,0.00539,0.0009,0.06981,0.06179,0.01979,4.28,-14.3,-17.3,16.8,0.0898,0.01153,0.00278,0.06981,0.01979
Korean,F,epr,epr_kor,4,4,pan,casual,10.609,,218,213.5,43.5,121,365.4,244.4,92.88,92.85,3.43,3.3,22.43,19.13,74.5,70.9,43.7,0.01189,0.00251,0.00485,0.001,0.07695,0.07812,0.02385,5.26,-13.8,-19,16.4,0.0908,0.01189,0.00251,0.07695,0.02385
Korean,F,epr,epr_kor,4,5,con,polite,8.749,,185.9,181,32.1,129.8,284.3,154.4,90.22,90,2.9,4.52,18.09,13.56,73.8,71,40.9,0.01398,0.00325,0.00617,0.001,0.07191,0.06387,0.02171,6.66,-15.2,-16.6,15.8,0.0996,0.01398,0.00325,0.07169,0.0217
Korean,F,epr,epr_kor,4,5,pan,casual,6.794,,194.5,185.5,39,117.2,270.8,153.6,90.9,90.42,3.48,2.76,17.25,14.49,74.1,72,37.5,0.01451,0.00328,0.00655,0.0011,0.08394,0.08054,0.02545,3.06,-13.9,-16.9,14.9,0.1158,0.01451,0.00328,0.08394,0.02545
Korean,F,epr,epr_kor,4,6,con,polite,11.26,,191.9,186.2,43,123.9,316.8,192.9,90.59,90.49,3.77,3.71,19.96,16.25,73.8,70.6,41.7,0.01136,0.0027,0.00484,0.0012,0.07643,0.0712,0.0265,5.48,-15,-19.9,16,0.0961,0.01136,0.0027,0.07643,0.0265
Korean,F,epr,epr_kor,4,6,pan,casual,9.561,,213,208.6,49.1,129.3,326.5,197.2,92.36,92.46,3.99,4.45,20.43,15.98,74.5,70.9,44,0.01157,0.00234,0.00456,0.0012,0.07735,0.0688,0.02679,4.96,-14,-19.7,15.6,0.1123,0.01157,0.00234,0.07741,0.02681
Korean,F,epr,epr_kor,4,7,con,polite,11.423,,188,188.5,34.7,132.6,267.7,135.1,90.37,90.7,3.16,4.89,17.05,12.16,73.3,69.8,43.4,0.01105,0.00281,0.00574,0.0011,0.0766,0.07393,0.02397,4.1,-15.6,-20.5,16.5,0.0939,0.01105,0.00281,0.0766,0.02397
Korean,F,epr,epr_kor,4,7,pan,casual,9.23,,194.3,177.7,40.8,132.5,310.9,178.4,90.86,89.68,3.53,4.88,19.64,14.76,73.9,70.5,41.1,0.01276,0.00304,0.00589,0.0011,0.08763,0.08437,0.02456,1.98,-13.3,-19.1,15.3,0.0996,0.01276,0.00304,0.08763,0.02456
Korean,F,epr,epr_kor,4,8,con,polite,11.125,,194.2,193.6,35,127.7,276.9,149.2,90.94,91.16,3.12,4.24,17.63,13.39,73.2,70,38.1,0.01376,0.00347,0.00675,0.0009,0.0832,0.07322,0.02591,4.19,-15.1,-18.4,16.1,0.1097,0.01376,0.00347,0.0832,0.02591
